date,mark,composite_q1,composite_q2,composite_q3,composite_q4,composite_q5,grp_quality_q1,grp_quality_q2,grp_quality_q3,grp_quality_q4,grp_quality_q5,grp_growth_q1,grp_growth_q2,grp_growth_q3,grp_growth_q4,grp_growth_q5,grp_value_q1,grp_value_q2,grp_value_q3,grp_value_q4,grp_value_q5,grp_momentum_q1,grp_momentum_q2,grp_momentum_q3,grp_momentum_q4,grp_momentum_q5,grp_risk_q1,grp_risk_q2,grp_risk_q3,grp_risk_q4,grp_risk_q5,loo_quality_q1,loo_quality_q2,loo_quality_q3,loo_quality_q4,loo_quality_q5,loo_growth_q1,loo_growth_q2,loo_growth_q3,loo_growth_q4,loo_growth_q5,loo_value_q1,loo_value_q2,loo_value_q3,loo_value_q4,loo_value_q5,loo_momentum_q1,loo_momentum_q2,loo_momentum_q3,loo_momentum_q4,loo_momentum_q5,loo_risk_q1,loo_risk_q2,loo_risk_q3,loo_risk_q4,loo_risk_q5
2019-12-11,close,499817.91364291793,484550.23649449,484864.48425327084,453887.63665702904,397260.87286897027,489290.58889253036,482495.54617655074,456940.6335325245,448160.2899975677,442904.0573495965,489738.58292397147,492691.2871318115,434144.993902047,471212.84217609314,434245.9478332277,408105.93154880597,435743.03998304607,467507.2294870617,497203.42828731035,515202.1683230797,485735.8763295856,480555.7902796971,469719.104126975,477297.78700380074,405688.4442617511,524861.9718224555,511571.2308102148,481436.30253507517,452870.1486289308,358729.5934772513,488527.09150818776,512757.13839512493,476322.39018368244,444292.4452649569,400046.99008597946,496726.8803579786,487335.6024368141,478640.6733796967,448765.96665122337,407154.1050022339,520534.57840560644,509282.3150059086,465494.3865545266,443631.60459542385,382926.58864328207,506078.4797577311,483330.9908644456,469435.93830943474,447220.79538928106,417084.90639292053,456185.6177010978,476253.396728746,494206.29830746906,464122.0722466283,430809.00869089307
2019-12-12,close,501965.0340893788,488787.37847376394,487356.7756033758,457143.7463590864,401391.6118673704,491977.67899883195,486934.0915760555,460503.82010895014,451187.27172819345,445709.8734302301,493236.33263833064,495604.74485261564,435367.7719180245,476599.0170023116,437893.8588965359,411102.5992196295,440403.4939108615,471227.0870386657,499402.79724393605,517930.7845676315,488178.23719843884,482848.51791059854,472798.71807175403,481358.85703516717,410103.7079032014,527093.8292847666,514521.20569469937,487193.57277763577,455808.40325267677,361319.1219789481,490799.9494987061,516223.82495688397,480128.84206950816,446797.1111236982,404291.9631885827,499921.5900118973,490424.80003202474,481858.6262361799,452334.4624282412,410505.28454875073,522323.12534291815,513518.936775594,468643.84050767514,446645.83629111864,386936.5445434609,509144.94631630694,486997.0857179585,472468.2487512632,451023.04811701196,420026.24193012057,458892.9607711196,479753.79297150346,496384.27333215764,467635.434631808,435325.7879769177
2019-12-13,close,505250.0113677214,492391.8589915692,491515.2527745026,460495.3408161063,407626.3362239336,495216.8422993226,490710.13928927644,463941.67666626035,455116.1396773273,452312.5766732901,496681.0948822285,498597.69299960276,439030.97891902464,482971.2664678494,442454.1211529442,418130.23936909926,443361.65435297485,475370.64797723794,503475.4448047585,520213.4150326165,492272.4173215141,486416.12378399476,475894.86350026756,485797.0611281931,415717.5049617914,529644.6399771548,517636.3258260086,490801.85863924475,461636.61067741615,366538.34417673043,494044.2676146195,521080.9381221997,483839.39277692244,450796.2313261602,409342.6228747502,502232.6872595581,494944.8132399805,486299.2063611349,457396.0688585682,415034.6199407926,525003.5567299406,516814.6089271134,473388.4425367863,450264.36654482706,392962.427333548,512258.1651305857,490869.64683236624,475441.6716999804,457279.5165223976,424710.54333528207,462801.2689157816,483791.7361205148,499678.78816103155,472252.18386334693,440453.7558713134
2019-12-16,close,504304.9975339544,491111.8635198789,490551.1724196819,460332.2001650025,407299.25398160797,494279.00771648786,489407.03937032464,463109.6553295862,455364.73527439765,451509.05815507355,495664.0111509794,498111.6009311281,437856.8881905195,482445.11559200264,442076.2232837093,418685.2757024226,442590.04087461776,475036.88746649376,502015.1018570941,518329.0457308693,491351.76116771606,486233.55149025476,473928.5466045418,485113.7288430858,415791.13911504013,528266.9562527718,516461.6036211091,489765.7342742617,461413.46348993556,366505.60051967326,493357.64409394114,518877.4263149745,483762.8622962107,450800.38167351205,408600.2348455201,500539.3377733865,494077.05819143227,486214.0465347284,457102.1109865243,414337.07855092833,523782.3828064861,515655.5804495665,472154.8973252561,450248.99646352185,392827.4254748236,511540.1004074841,489677.3119961401,474549.6251987174,456528.6788870813,424605.99153902335,462016.0892228505,482609.94143737876,499120.48599248455,472169.455905436,439483.1923566229
2019-12-17,close,507521.3930357764,494253.67525982903,492872.73933749134,465141.2926125993,413429.9182258753,496395.65150760196,494501.62136211613,469121.5740884103,458699.38215018815,454992.7885519166,500134.55306154094,499647.98657822306,442473.07531317574,487800.3073522559,446098.9918886198,424037.1601460072,446670.37715698464,479494.62393525493,504859.9479351195,521286.1044856367,494574.5481226805,488929.4267495182,476995.01619822066,488055.01372225344,423380.70174232736,530420.3010554735,519655.0777437488,493540.68572277896,466296.56442483625,371829.33825865533,495795.4356413201,522967.32710048003,486511.10190598445,454535.12878747424,415175.7146085347,502958.7942560041,497007.18287551904,489335.574169465,463725.5949023924,419034.44840549654,526670.4175594338,519208.8357404416,474907.5253307182,453534.98506925075,399685.95264642005,514359.1024193827,492147.7579679035,479743.4592996516,461897.11227832193,428684.6162146485,465674.45836836635,485329.95948775654,503259.64204269636,477351.18444799207,443883.9066993452
2019-12-18,close,509018.9429361406,492981.5188212604,493974.5410108173,466703.7094717198,413911.3539372214,498862.52333862596,495048.6340753528,469618.0069920602,457488.82779811445,456120.0730884175,499487.6825190089,502002.5120145645,442148.29965305835,488865.5901422546,447082.8608752319,426467.1512340191,447525.1337258388,479797.37541046436,503744.6986829059,521798.7420142075,494986.7591730169,490005.12543774344,476067.0411971097,488071.6320884298,425908.4510831492,531719.4055636958,518617.81916075246,493195.4400872441,466669.67664272327,374334.198799143,496481.302088922,522849.9060760378,486767.8441293399,456027.6117510517,416085.5074875003,503290.21735513525,498146.41241731984,490400.55442177434,463527.8259055744,420027.3359726694,528789.5982145699,517037.3354067657,474668.7174448476,455126.8922327202,401414.20527780725,514786.0689987269,492775.52415462135,481711.89581126126,462315.0832079165,428632.92291546107,466863.90160909365,485140.0726142017,504409.97447629843,478827.60272746446,443671.16309797403
2019-12-19,close,508552.1474632122,493793.02964446956,495056.7011321854,467562.1864082771,415931.58362609154,500481.335900149,496073.1109960814,469215.30319138593,458227.12558884,457738.83872325055,499793.34427799896,502587.51119198545,443226.65925835783,489963.4318578663,448496.5532994272,426131.3075692387,447561.1851260218,482542.7753689656,504799.8370101414,523108.09446122864,495870.00641532254,489864.3905507543,476775.30870596884,489641.9770373226,427355.0740786173,532243.5667136136,519488.5967202973,493680.4752345805,468255.02681250597,375299.2594420773,495699.4605245699,524713.7752565849,487100.6349662124,456752.7234252355,418305.6458462369,503187.3555572265,498563.08763042104,491001.8311471531,465810.3942817103,421242.98041148856,529345.0266501707,517104.28855861764,475852.7328261759,456630.66827774374,402475.8940191116,513793.58483194135,493623.3647321307,482575.4121791381,464874.62497411977,429731.33201235556,466958.41281255195,485240.0135691818,504181.7991487512,481971.7674165789,445079.77786005347
2019-12-20,close,509796.8023388541,495294.02969210985,495679.07462628046,466974.85711346834,414262.86955449503,502300.06884794857,497425.0528734346,468662.6338329477,457954.83935910166,456286.0737422182,500811.10029465833,503471.5853141425,442500.7571724537,490918.5854900063,447320.2797368336,426143.6114809515,447616.2551859652,482602.0179106204,505514.8103939414,523048.97812446463,497882.19078539533,489644.63257590745,477242.5953274723,488001.7023908188,427475.0039707655,531577.1811445142,521645.4624677831,494294.7782167278,467611.92891727696,374821.31018882076,496876.2631906671,525771.1977398851,488370.1912432112,454904.5840697844,417668.7019244698,504648.71920642554,499426.26193778275,491200.35595683753,466128.8709711476,419459.14833104727,531152.0026012349,518205.337212077,476083.58745971933,455721.14153394895,401443.7541778297,515107.05863283196,495181.86963203835,482867.2147166448,465019.04903641593,427477.5539892445,468800.61977176263,485517.52772896015,504435.08130510955,482608.3422518556,442914.3146226461
2019-12-23,close,509035.41064085043,496198.61950368737,494322.0715445738,466133.70298522856,413564.4268443008,502531.57123463025,496430.6070649609,469126.9507206962,457427.95098557597,454337.3348341714,500605.41642375896,502939.5072241791,443476.2626886823,488045.89222605276,447008.95613992104,424293.95811371855,447556.1989426858,481392.04981799994,505917.6105813647,523242.2134786951,498237.25418845273,489438.6529389177,475911.63435711636,487417.1092855072,426536.34862349415,532149.6031214767,520486.7938037288,494435.7931539569,468294.8465384854,372350.7909706147,496011.6480968855,527092.0485859386,488005.4241515918,453104.2680255425,416806.075972445,504947.15401855676,499314.6926474273,490259.029157771,465261.89164097275,418407.6305195441,530703.8936521608,519208.5570149351,475958.9334648902,453846.31577655266,400369.7286319497,515412.3245290042,494137.6117565697,482832.82770224597,463796.51420586795,426746.4845828299,468656.6072662026,485419.58484478766,503329.03138846945,481533.561704135,442499.2732794703
2019-12-24,close,508644.56711967546,496567.04802956857,494500.60692818393,465336.05343316507,415467.773329974,503045.3745261753,495749.8009775749,469857.43356492184,457866.6772005663,454818.5112382977,500798.40670491953,502915.075830161,444535.2059689861,487030.2882402189,448176.4941095932,424692.2634764869,446510.1128386024,482338.95858560567,507025.4826130016,523445.1782657244,497318.9649446436,489274.4086165517,477799.71157444373,487108.8397383188,427414.6759801084,532106.057536132,520536.1118768596,495021.23921934987,468777.90660763043,372718.26287234493,495205.90056098474,528123.603591774,488404.0320972603,451760.13635910704,418837.49206288945,503844.5637284942,500159.7883142652,489886.124948033,466377.30158266175,419300.51083647687,530450.6768691101,520529.16265128204,475914.0193380941,452817.1810555655,401760.6525940358,515240.38676289393,494647.6376464389,483000.4524869861,463232.521498235,428217.66403333395,468342.07762525417,485829.6414650624,502694.1669773332,481507.2167410505,444465.4804237656
2019-12-26,close,509379.5715861152,497219.41360263794,497650.6859235115,467487.86439910234,418758.55018866,502694.67395843886,496873.5298199464,474384.1241165249,459489.3092513297,457990.96776745503,503795.2370450915,504598.0936950686,445654.5163311602,489096.3410106524,450662.8657455917,429230.94584134826,448616.6365896689,484116.4204210976,507427.5401631204,524325.8466170524,498956.2957900393,489419.21139725356,480026.43217057985,489970.44751827774,430617.3347022124,531550.7957524274,521836.95443592925,496437.23019432655,473647.2291150875,375355.4117158017,496515.0901875154,529143.8061527974,490504.66162976564,454482.08404510026,421685.4509963626,504113.67894313263,501658.0883308272,492237.7795896864,467222.9087863721,424168.8948879775,530603.9175740323,520250.3278621317,478070.55261470395,456762.6287275181,405313.66789502284,516370.2348888882,495997.1984145764,485229.6525414629,463971.5740531124,432782.3745841474,469250.2905899915,489750.48284682044,504755.1470940856,481120.0139463825,448180.6390257464
2019-12-27,close,512490.14303192747,502549.1383043175,501429.6278362379,472364.98405160464,422253.63752731733,506178.92900518735,501451.3702886858,480441.43498534284,462036.87869784544,461918.17336542805,507219.1108685094,507860.8345932152,449190.83694568364,494986.492683542,455166.47102027567,434561.7698556962,453526.04029334756,487411.05632861465,511316.7449622264,527111.588787856,502143.7019691906,492016.7133834021,486051.8202407589,494544.88105200086,434748.9040107121,534917.9321996255,525706.7107653647,502244.9950779857,478791.39505385456,377916.50262398657,499256.51789908967,535252.1426760718,494147.5209957675,458893.2779034834,425475.9385301876,508457.3861374134,505059.04645925405,497495.6398964811,471892.8238111848,427176.5810591103,534124.8365176,523288.8007578863,483423.83404306666,462562.3532898909,408102.27502603835,521105.75307890686,499366.93191749067,489161.82779733714,469963.7450149015,435474.59983960784,473486.04286894633,494561.7838885101,508111.8490905548,484767.082767718,452712.1750855013
2019-12-30,close,515161.24434289685,505600.83434638253,507445.8012258203,477266.7718134762,426111.7375821974,509627.92762459535,505830.59779261897,483238.3036506998,466473.5311300214,467462.1897018603,511476.83697731013,512682.8718976909,450465.4572075172,499301.8686254515,461267.5943258158,440655.3417600889,459914.7213000647,490148.80133369315,513230.12806120934,529884.3901583621,504988.24819703854,495070.86916022596,489657.1422222299,500470.1024990306,439762.81369872234,537236.169805838,528898.6408898511,507908.85319325945,484361.0581382366,381505.1995058008,501644.08285783656,540256.764673946,497437.8359342792,464713.7814846853,429494.47471878905,510586.96884879674,507607.9483418345,503417.77900866314,480207.67164909217,428907.7135568318,535981.5731084618,526493.9385064241,489328.95126839756,467417.8767922658,412391.18223366345,525876.0054185867,502646.29739953735,493668.43677794404,474261.33990562434,439269.14800654736,476760.7192050463,499212.8959915439,512165.0006273796,489103.65327003907,457043.73236715636
2019-12-31,close,514692.1445426135,504698.33724654035,508392.27237203,479678.93435173394,429988.3047050129,509291.51341238176,506520.62089777784,482018.53611288744,470071.5047366815,471072.12608363316,511119.79936047737,512343.7240427319,451276.00993537094,501683.7288347359,465003.10998408095,444501.7771422682,461901.23929389915,490389.1757468325,514428.19293789484,528368.0434117521,504770.54943482904,493805.8451249832,491173.4272001169,502628.275763052,443582.38196641783,536656.2353706209,528557.7324811443,510396.43778804294,484908.24593433173,384974.66817596817,501472.8997542564,539061.1931383087,498462.4248106656,467625.8012782926,432750.29009726987,510187.2358412782,507462.2078451964,504202.31466788804,483590.9855668476,431378.50368035934,535156.460137725,526144.7091848239,489552.54357459873,469068.7706400094,417137.98709640204,524727.9655075523,503135.95994633756,495250.87792390614,477008.9292809215,441708.72206213075,476592.6466210269,498863.2385450185,513429.34599037707,491184.73062642664,460541.0114895157
2020-01-01,close,516871.46193615976,507395.40585992933,514297.81132397195,483750.7931911843,432926.7873640208,511087.4428984294,509977.0082352548,484060.0055989602,473893.9122296812,477695.05884788785,514941.41864755884,517074.51293722773,455256.73760966404,504308.1862415329,467711.64469014574,451148.8672817218,464768.43068677466,494598.4371584011,517451.9342486371,528699.1731462617,507018.1895195418,496852.85970341414,496260.78378144425,507600.4822581356,446125.0259010961,539038.2943968482,530015.8849940279,513978.6599428846,489265.0080865825,390178.1792508225,504484.83083053783,543706.5300160137,501912.01202671207,471173.6144540667,435969.16707967035,512429.936733871,510734.7994638591,507910.4743027444,488000.1170794584,435382.69891799893,536891.2602174013,528944.1147191091,492816.039972202,474019.4174032762,421658.5056854486,527999.110808658,505582.2078888777,500275.5392982159,480367.57176925166,445361.0052568902,481639.143036972,501084.2676592468,517461.51041024196,494853.5582280941,463406.9541509083
2020-01-02,close,521078.3733311025,514998.2453203503,522259.46314145334,495898.55431866704,448054.71281790687,516523.5080895704,519102.4129926154,493575.98685610254,485403.00163212453,490302.05340901023,522126.07159740163,524794.53017233,463045.27340050106,515330.8492038653,482161.1029489965,466270.6467255427,476954.7354865123,505229.06212749844,522540.4607516787,532267.289925397,511254.93226642546,502268.77978974907,504947.61410032265,519093.67230691115,463424.7404206165,542861.3397460864,536969.4560591695,524838.5680407127,499491.0568033688,404418.9968507857,510222.65943312127,549944.2280826737,510297.17135356565,483164.0181988442,450636.03911241627,517858.03812654025,518390.94455708785,516325.6386718261,499003.1244033948,450220.5343904671,539703.6993038588,535860.5626351772,501427.2994463677,484940.6290167707,438350.5161090343,535741.8755015482,512681.52108779515,509788.08298379515,490580.6386625413,458684.95686964184,488044.95800632454,508077.2739815016,526999.9854207775,504997.71692452097,478508.1949889092
2020-01-03,close,520947.7097328874,514501.1097811547,521036.70565235463,496737.05469600536,446902.85221547395,515758.16455701465,520697.72920875123,492174.04939339345,484395.59177060454,489699.18120944366,520966.2391729302,524239.85343359085,463713.73850364453,514383.09973747114,481769.4321651389,464799.81043199816,477470.8726609481,504273.237848404,523426.0522260617,531142.7631535461,509911.9300339069,501248.6370128006,505532.6067950024,519637.8053497306,462463.8141649274,543256.6882230439,537937.2361957415,523439.42856587213,498044.2142493848,403859.9510003595,509874.5443191283,549362.1245811007,510191.5048289484,482415.41181072063,450178.1911603054,517227.85116511036,518434.51092053374,516147.5999568286,497164.8720105867,450521.18666799774,539390.926568736,535913.219336582,499502.72799195413,485411.19356721645,437882.10499682603,535665.0351491662,513009.6822213238,508794.90726447967,490865.99327405536,457021.6446980997,486668.2011874309,507313.918687721,527687.6711050279,504145.44731718436,478590.3607420679
2020-01-06,close,512874.69839813584,504231.50330654444,508896.57262107317,482038.70569540537,431461.3141899,505895.9168596687,510001.3068046791,478817.1389403143,471392.4867923632,475191.4506248754,509425.6464141671,512782.5794100129,451991.8156763053,502454.6105192634,466968.3316551904,447016.26270320127,463934.5297932972,491216.96489598503,515830.8240504137,523158.65627330437,500427.8301804918,493115.44489247724,492862.82154492754,508037.658922744,443890.98525707185,536553.9376505682,527864.4778032879,512820.27897558536,481858.63947410096,388084.73992494965,501356.2941728859,538031.241136456,499709.4543979052,467560.4792409613,434736.7717021367,509380.07095330954,507270.2013035525,505183.93660963705,481227.82590375055,435644.761154645,532544.8972600532,526343.876866304,486766.105802602,471896.0962921763,420971.045259735,526344.8602336312,502324.1798981501,494691.28650046594,476818.1019622119,443950.5900595329,475824.62512725685,497496.6921694709,515554.3562460156,488784.5299414907,465133.3351395973
2020-01-07,close,517783.53635274776,508385.51397543156,514843.7623128351,487867.1729172375,439675.15091920615,510684.15065942414,516469.43129015685,483952.86591067957,476757.93791351723,482984.1900399218,516190.7334465244,519965.8055548527,456808.2962374396,507387.7470733258,472986.11071378633,456540.338635586,469644.09597654856,497268.04212606756,519424.17973976093,526968.5336021056,505886.8651352464,496017.1695388663,498434.40678185824,515720.73891104094,451530.8694556445,539446.5116043047,532186.5692107648,518253.0595539159,489982.90532900253,395732.8397087636,506439.885078812,543715.8999427086,503841.038690714,474607.9244837029,441966.7068340421,512789.5249252493,513157.0637278128,510467.08861336083,487784.5240813583,443618.23454698676,537028.6564094898,530071.266672125,491751.4390276591,478225.0078090386,429951.4554814004,531208.5977785354,507546.2110599333,500789.0923448726,484374.3488768334,449674.790612043,482502.4380967546,501558.4221516108,520944.0855979215,496046.30928326264,471272.169183588
