D,symbol,action,weight,ticker,rank,sector,sector_source,composite
2021-08-16,NITINSPIN,buy,0.1,NITINSPIN,9.0,Textiles - Cotton,backfill,0.7065946304023387
2021-08-16,GHCL,buy,0.1,GHCL,10.0,Chemicals - Inorganic,backfill,0.7038640583070851
2021-08-16,GULPOLY,sell,0.0,GULPOLY,52.0,,none,0.6401911566686617
2021-08-16,DALBHARAT,sell,0.0,DALBHARAT,144.0,,none,0.5922164654782558
2021-08-16,COSMOFIRST,sell,0.0,COSMOFILMS,85.0,,none,0.6175410173862173
2021-08-16,UFLEX,sell,0.0,UFLEX,104.0,Packaging,backfill,0.6079976071204556
2021-08-16,GPIL,sell,0.0,GPIL,31.0,Steel And Steel Products,backfill,0.6640143124636525
2021-08-16,SALASAR,sell,0.0,SALASAR,49.0,,none,0.6417224560778008
2021-08-16,VEDL,sell,0.0,VEDL,30.0,,none,0.6654974098837546
2021-11-15,TATASTLBSL,keep,0.1,TATASTLBSL,3.0,,none,0.7524241000561463
2021-11-15,TATASTEEL,keep,0.1,TATASTEEL,4.0,Steel And Steel Products,backfill,0.7523646564880699
2021-11-15,NITINSPIN,keep,0.1,NITINSPIN,8.0,Textiles - Cotton,backfill,0.7127388426763049
2021-11-15,HGINFRA,keep,0.1,HGINFRA,11.0,,none,0.7037646659405168
2021-11-15,JSWSTEEL,keep,0.1,JSWSTEEL,12.0,Steel And Steel Products,backfill,0.703271574016308
2021-11-15,GHCL,keep,0.1,GHCL,16.0,Chemicals - Inorganic,backfill,0.6883669216951537
2021-11-15,OIL,buy,0.1,OIL,1.0,Oil Exploration/Production,backfill,0.7584646662819237
2021-11-15,VEDL,buy,0.1,VEDL,2.0,,none,0.7562884328680959
2021-11-15,ONGC,buy,0.1,ONGC,5.0,Oil Exploration/Production,backfill,0.7211671508828699
2021-11-15,HINDALCO,buy,0.1,HINDALCO,6.0,Aluminium,backfill,0.7172795078124728
2021-11-15,GRASIM,sell,0.0,GRASIM,37.0,Cement And Cement Products,backfill,0.6618356285503895
2021-11-15,SHIVAMILLS,sell,0.0,,,,,
2021-11-15,SPLPETRO,sell,0.0,SUPPETRO,49.0,Petrochemicals,backfill,0.6478235923389062
2021-11-15,STYRENIX,sell,0.0,INEOSSTYRO,24.0,,none,0.6768075924371242
2022-02-15,NITINSPIN,keep,0.1,NITINSPIN,2.0,Textiles - Cotton,pit,0.730678292164509
2022-02-15,OIL,keep,0.1,OIL,6.0,Oil Exploration/Production,pit,0.7158014581276454
2022-02-15,ONGC,keep,0.1,ONGC,8.0,Oil Exploration/Production,pit,0.7092188653658862
2022-02-15,TATASTEEL,keep,0.1,TATASTEEL,9.0,Steel And Steel Products,pit,0.7080073093306567
2022-02-15,VEDL,keep,0.1,VEDL,12.0,,none,0.7007898661318801
2022-02-15,JSWSTEEL,keep,0.1,JSWSTEEL,13.0,Steel And Steel Products,pit,0.6994097278280037
2022-02-15,HINDALCO,keep,0.1,HINDALCO,17.0,Aluminium,pit,0.6925323322053986
2022-02-15,MAHSEAMLES,buy,0.1,MAHSEAMLES,1.0,Steel And Steel Products,pit,0.7452490779483298
2022-02-15,DCMNVL,buy,0.1,DCMNVL,3.0,,none,0.7247065138260382
2022-02-15,PRECOT,buy,0.1,PRECOT,4.0,Textiles - Cotton,pit,0.721351683166486
2022-02-15,HGINFRA,sell,0.0,HGINFRA,36.0,,none,0.6617996305715235
2022-02-15,GHCL,sell,0.0,GHCL,32.0,Chemicals - Inorganic,pit,0.6653231922421223
2022-06-01,ONGC,keep,0.1,ONGC,3.0,Oil Exploration/Production,pit,0.7249337371632669
2022-06-01,NITINSPIN,keep,0.1,NITINSPIN,6.0,Textiles - Cotton,pit,0.7167034855217234
2022-06-01,OIL,keep,0.1,OIL,8.0,Oil Exploration/Production,pit,0.7137681678109765
2022-06-01,MAHSEAMLES,keep,0.1,MAHSEAMLES,10.0,Steel And Steel Products,pit,0.7017988099835788
2022-06-01,HINDALCO,keep,0.1,HINDALCO,15.0,Aluminium,pit,0.6932331477142301
2022-06-01,DCMNVL,keep,0.1,DCMNVL,18.0,,none,0.6868282198418616
2022-06-01,POLYPLEX,buy,0.1,POLYPLEX,1.0,Packaging,pit,0.7344566522712058
2022-06-01,UFLEX,buy,0.1,UFLEX,2.0,Packaging,pit,0.7308451953265858
2022-06-01,NTPC,buy,0.1,NTPC,4.0,Power,pit,0.7241961713965808
2022-06-01,AURIONPRO,buy,0.1,AURIONPRO,5.0,Computers - Software,pit,0.7237875641487885
2022-06-01,TATASTEEL,sell,0.0,TATASTEEL,50.0,Steel And Steel Products,pit,0.6534020118449433
2022-06-01,PRECOT,sell,0.0,PRECOT,119.0,Textiles - Cotton,pit,0.6060600668490956
2022-06-01,JSWSTEEL,sell,0.0,JSWSTEEL,92.0,Steel And Steel Products,pit,0.621147126737059
2022-06-01,VEDL,sell,0.0,VEDL,67.0,,none,0.6447941126125409
2022-08-16,NTPC,keep,0.1,NTPC,1.0,Power,pit,0.7361151505118543
2022-08-16,MAHSEAMLES,keep,0.1,MAHSEAMLES,4.0,Steel And Steel Products,pit,0.7215408446640954
2022-08-16,UFLEX,keep,0.1,UFLEX,12.0,Packaging,pit,0.7057538146248791
2022-08-16,POLYPLEX,keep,0.1,POLYPLEX,20.0,Packaging,pit,0.6888715062314865
2022-08-16,ITC,buy,0.1,ITC,2.0,Cigarettes,pit,0.7283565158329373
2022-08-16,RITES,buy,0.1,RITES,3.0,,none,0.7227596787278973
2022-08-16,POWERGRID,buy,0.1,POWERGRID,5.0,Power,pit,0.721409157857815
2022-08-16,GESHIP,buy,0.1,GESHIP,6.0,Shipping,pit,0.7207780634839299
2022-08-16,COALINDIA,buy,0.1,COALINDIA,7.0,Mining,pit,0.7142487293457873
2022-08-16,EIDPARRY,buy,0.1,EIDPARRY,8.0,Sugar,pit,0.7115229893995332
2022-08-16,OIL,sell,0.0,OIL,51.0,Oil Exploration/Production,pit,0.6424703197936059
2022-08-16,AURIONPRO,sell,0.0,AURIONPRO,50.0,Computers - Software,pit,0.6429063013423458
2022-08-16,ONGC,sell,0.0,,,,,
2022-08-16,HINDALCO,sell,0.0,HINDALCO,97.0,Aluminium,pit,0.6178680860543064
2022-08-16,DCMNVL,sell,0.0,,,,,
2022-08-16,NITINSPIN,sell,0.0,NITINSPIN,236.0,Textiles - Cotton,pit,0.56050641116759
2022-11-15,MAHSEAMLES,keep,0.1,MAHSEAMLES,1.0,Steel And Steel Products,pit,0.7548004090439744
2022-11-15,GESHIP,keep,0.1,GESHIP,3.0,Shipping,pit,0.741754973282967
2022-11-15,ITC,keep,0.1,ITC,4.0,Cigarettes,pit,0.7341614270108272
2022-11-15,COALINDIA,keep,0.1,COALINDIA,5.0,Mining,pit,0.7316132117677526
2022-11-15,NTPC,keep,0.1,NTPC,6.0,Power,pit,0.7284197956928194
2022-11-15,UFLEX,keep,0.1,UFLEX,10.0,Packaging,pit,0.7152824218646
2022-11-15,POWERGRID,keep,0.1,POWERGRID,16.0,Power,pit,0.7016191419385587
2022-11-15,EIDPARRY,keep,0.1,EIDPARRY,17.0,Sugar,pit,0.7015230612489898
2022-11-15,ANDHRAPAP,buy,0.1,ANDHRAPAP,2.0,,none,0.7436675729504176
2022-11-15,STARPAPER,buy,0.1,STARPAPER,7.0,Paper And Paper Products,pit,0.7256940168378444
2022-11-15,POLYPLEX,sell,0.0,POLYPLEX,24.0,Packaging,pit,0.6773912269377715
2022-11-15,RITES,sell,0.0,RITES,93.0,,none,0.61615345912306
2023-02-15,ANDHRAPAP,keep,0.1,ANDHRAPAP,1.0,,none,0.7432435969431496
2023-02-15,NTPC,keep,0.1,NTPC,2.0,Power,pit,0.7416486188694622
2023-02-15,GESHIP,keep,0.1,GESHIP,3.0,Shipping,pit,0.7401340046219338
2023-02-15,COALINDIA,keep,0.1,COALINDIA,4.0,Mining,pit,0.7390246056692963
2023-02-15,MAHSEAMLES,keep,0.1,MAHSEAMLES,13.0,Steel And Steel Products,pit,0.6955575388552051
2023-02-15,ITC,keep,0.1,ITC,16.0,Cigarettes,pit,0.6904263802396168
2023-02-15,STARPAPER,keep,0.1,STARPAPER,20.0,Paper And Paper Products,pit,0.6853956599693969
2023-02-15,SHRIPISTON,buy,0.1,SHRIPISTON,5.0,,none,0.7254261009386442
2023-02-15,JKPAPER,buy,0.1,JKPAPER,6.0,Paper And Paper Products,pit,0.7140762979481724
2023-02-15,M&M,buy,0.1,M&M,7.0,Automobiles - 4 Wheelers,pit,0.7125081451874552
2023-02-15,POWERGRID,sell,0.0,POWERGRID,25.0,Power,pit,0.6828481006385924
2023-02-15,UFLEX,sell,0.0,UFLEX,207.0,Packaging,pit,0.5793229756166596
2023-02-15,EIDPARRY,sell,0.0,EIDPARRY,28.0,Sugar,pit,0.6804508390990183
2023-06-01,M&M,keep,0.1,M&M,2.0,Automobiles - 4 Wheelers,pit,0.7442241658259267
2023-06-01,ANDHRAPAP,keep,0.1,ANDHRAPAP,8.0,,none,0.7251285491236732
2023-06-01,GESHIP,keep,0.1,GESHIP,12.0,Shipping,pit,0.7071939169449769
2023-06-01,MAHSEAMLES,keep,0.1,MAHSEAMLES,13.0,Steel And Steel Products,pit,0.6975915665874501
2023-06-01,ITC,keep,0.1,ITC,14.0,Cigarettes,pit,0.6951132659463581
2023-06-01,HGINFRA,buy,0.1,HGINFRA,1.0,,none,0.7616911796622923
2023-06-01,NCC,buy,0.1,NCC,3.0,Construction,pit,0.7427514200816618
2023-06-01,ZYDUSLIFE,buy,0.1,ZYDUSLIFE,4.0,,none,0.7406072254904963
2023-06-01,INDRAMEDCO,buy,0.1,INDRAMEDCO,5.0,Miscellaneous,pit,0.7403948403903189
2023-06-01,ANANDRATHI,buy,0.1,ANANDRATHI,6.0,,none,0.7369968197198602
2023-06-01,COALINDIA,sell,0.0,COALINDIA,30.0,Mining,pit,0.6670030738292136
2023-06-01,STARPAPER,sell,0.0,STARPAPER,123.0,Paper And Paper Products,pit,0.6088957670677101
2023-06-01,NTPC,sell,0.0,NTPC,23.0,Power,pit,0.685093732248392
2023-06-01,SHRIPISTON,sell,0.0,,,,,
2023-06-01,JKPAPER,sell,0.0,JKPAPER,38.0,Paper And Paper Products,pit,0.6601541053321109
2023-08-16,ZYDUSLIFE,keep,0.1,ZYDUSLIFE,1.0,,none,0.7450315498672061
2023-08-16,HGINFRA,keep,0.1,HGINFRA,3.0,,none,0.7285573231753502
2023-08-16,M&M,keep,0.1,M&M,4.0,Automobiles - 4 Wheelers,pit,0.7255993804191092
2023-08-16,NCC,keep,0.1,NCC,5.0,Construction,pit,0.7159581843028977
2023-08-16,INDRAMEDCO,keep,0.1,INDRAMEDCO,11.0,Miscellaneous,pit,0.705690832443986
2023-08-16,PRAKASH,buy,0.1,PRAKASH,2.0,Steel And Steel Products,pit,0.7339100422558402
2023-08-16,TMPV,buy,0.1,TATAMOTORS,6.0,,none,0.7142713326819304
2023-08-16,VINDHYATEL,buy,0.1,VINDHYATEL,7.0,Cables - Telecom,pit,0.7103262311079174
2023-08-16,VENUSPIPES,buy,0.1,VENUSPIPES,8.0,,none,0.7101500422602738
2023-08-16,BHARTIARTL,buy,0.1,BHARTIARTL,9.0,Telecommunication - Services,pit,0.709593179123652
2023-08-16,ANDHRAPAP,sell,0.0,ANDHRAPAP,129.0,,none,0.6142996791533293
2023-08-16,ANANDRATHI,sell,0.0,ANANDRATHI,47.0,,none,0.6566193274567417
2023-08-16,MAHSEAMLES,sell,0.0,MAHSEAMLES,185.0,Steel And Steel Products,pit,0.5975239548777433
2023-08-16,GESHIP,sell,0.0,GESHIP,65.0,Shipping,pit,0.6428188126301219
2023-08-16,ITC,sell,0.0,ITC,37.0,Cigarettes,pit,0.664371367274892
2023-11-15,TMPV,keep,0.1,TATAMOTORS,2.0,,none,0.7423695526421865
2023-11-15,HGINFRA,keep,0.1,HGINFRA,4.0,,none,0.7195835409977638
2023-11-15,PRAKASH,keep,0.1,PRAKASH,16.0,Steel And Steel Products,pit,0.6912934632234122
2023-11-15,ANANDRATHI,buy,0.1,ANANDRATHI,1.0,,none,0.7481605235887197
2023-11-15,ASHOKA,buy,0.1,ASHOKA,3.0,Construction,pit,0.7296484825300034
2023-11-15,AUROPHARMA,buy,0.1,AUROPHARMA,5.0,Pharmaceuticals,pit,0.718142917144962
2023-11-15,CONTROLPR,buy,0.1,CONTROLPR,6.0,,none,0.7165174357565036
2023-11-15,GULFOILLUB,buy,0.1,GULFOILLUB,7.0,,none,0.7109112440669656
2023-11-15,OIL,buy,0.1,OIL,8.0,Oil Exploration/Production,pit,0.7087540725693883
